Order_ID,Customer_ID,Customer_Name,Email,Order_Date,Product,Category,Quantity,Unit_Price,Total_Amount,City,Payment_Method,Order_Status
ORD-0627,CUST-1021,Aditya Gupta,aditya.gupta852@gmail.com,04/07/2025,Water Bottle,Home,3,1299.00,3897.00,Lucknow,Cash on Delivery,Pending
ORD-0630,CUST-1095,Sneha Singh,sneha.singh721@gmail.com,19/04/2025,Shampoo,Beauty,6,1299.00,7794.00,Lucknow,Credit Card,Cancelled
ORD-0848,CUST-1058,Aditya Sharma,aditya.sharma412@gmail.com,02/06/2025,Power Bank,Electronics,3,999.00,2997.00,Bengaluru,UPI,Delivered
ORD-0515,CUST-1181,Aditya Mishra,aditya.mishra34@gmail.com,21/08/2025,Jeans,Fashion,6,999.00,5994.00,Delhi,Debit Card,Cancelled
ORD-0366,CUST-1235,Karan Jain,karan.jain610@gmail.com,13/04/2025,Hoodie,Fashion,3,1999.00,5997.00,Pune,Debit Card,Cancelled
ORD-0904,CUST-1021,Sneha Kumar,sneha.kumar336@gmail.com,24/12/2025,Excel Guide,Books,6,399.00,2394.00,Bengaluru,Cash on Delivery,Shipped
ORD-0656,CUST-1246,Aarav Mishra,aarav.mishra826@gmail.com,17/11/2025,Wireless Mouse,Electronics,4,799.00,3196.00,New Delhi,Cash on Delivery,Shipped
ORD-0529,CUST-1156,Rohan Kumar,rohan.kumar35@gmail.com,25/07/2025,Keyboard,Electronics,6,1299.00,7794.00,New Delhi,Debit Card,Delivered
ORD-0322,CUST-1028,Vikas Mishra,vikas.mishra594@gmail.com,08/12/2025,T-Shirt,Fashion,3,1299.00,3897.00,Bengaluru,UPI,Cancelled
ORD-0071,CUST-1142,Rahul Yadav,rahul.yadav965@gmail.com,30/05/2025,USB Cable,Electronics,1,1999.00,1999.00,Pune,Credit Card,Cancelled
ORD-0791,CUST-1090,Rahul Jain,rahul.jain553@gmail.com,21/06/2025,Wireless Mouse,Electronics,5,299.00,1495.00,Jaipur,Debit Card,Shipped
ORD-0372,CUST-1158,Priya Gupta,priya.gupta866@gmail.com,13/11/2025,Bedsheet,Home,2,399.00,798.00,New Delhi,UPI,Cancelled
ORD-0835,CUST-1047,Vikas Singh,vikas.singh225@gmail.com,18/12/2025,Face Wash,Beauty,4,249.00,996.00,Jaipur,Cash on Delivery,Delivered
ORD-0457,CUST-1120,Priya Sharma,priya.sharma480@gmail.com,18/07/2025,Power Bank,Electronics,6,299.00,1794.00,Delhi,UPI,Pending
ORD-0248,CUST-1170,Aditya Singh,aditya.singh527@gmail.com,10/03/2025,Hoodie,Fashion,6,249.00,1494.00,Jaipur,UPI,Pending
ORD-0959,CUST-1150,Neha Patel,neha.patel914@gmail.com,26/04/2025,Perfume,Beauty,2,249.00,498.00,Mumbai,Debit Card,Pending
ORD-0827,CUST-1215,Karan Jain,karan.jain17@gmail.com,11/07/2025,Face Wash,Beauty,3,999.00,2997.00,Mumbai,Debit Card,Shipped
ORD-0978,CUST-1083,Nitin Verma,nitin.verma496@gmail.com,13/03/2025,T-Shirt,Fashion,1,1299.00,1299.00,Bengaluru,Cash on Delivery,Delivered
ORD-0299,CUST-1058,Karan Verma,karan.verma360@gmail.com,09/08/2025,AI Fundamentals,Books,5,599.00,2995.00,Bengaluru,UPI,Shipped
ORD-0102,CUST-1227,Priya Jain,priya.jain439@gmail.com,21/08/2025,Wireless Mouse,Electronics,6,1299.00,7794.00,Mumbai,Debit Card,Delivered
ORD-0752,CUST-1047,Rahul Jain,rahul.jain591@gmail.com,17/05/2025,Data Analytics,Books,6,299.00,1794.00,Jaipur,Cash on Delivery,Cancelled
ORD-0605,CUST-1206,Vikas Yadav,vikas.yadav718@gmail.com,27/07/2025,Wireless Mouse,Electronics,2,1999.00,3998.00,Jaipur,Debit Card,Pending
ORD-0214,CUST-1068,Rohan Mishra,rohan.mishra114@gmail.com,02/10/2025,Table Lamp,Home,3,2499.00,7497.00,Mumbai,Cash on Delivery,Delivered
ORD-0238,CUST-1179,Rohan Patel,rohan.patel953@gmail.com,15/04/2025,Bedsheet,Home,1,499.00,499.00,Bengaluru,UPI,Shipped
ORD-0869,CUST-1004,Vikas Verma,vikas.verma545@gmail.com,29/05/2025,USB Cable,Electronics,6,299.00,1794.00,Mumbai,UPI,Shipped
ORD-0282,CUST-1017,Priya Yadav,priya.yadav226@gmail.com,28/07/2025,Perfume,Beauty,6,249.00,1494.00,Delhi,Cash on Delivery,Delivered
