Order_ID,Customer_ID,Customer_Name,Email,Order_Date,Product,Category,Quantity,Unit_Price,Total_Amount,City,Payment_Method,Order_Status
ORD-0627,CUST-1021,Aditya Gupta,aditya.gupta852@gmail.com,"Jul 04, 2025",Water Bottle,Home,3,"₹1,299","INR 3,897",Lucknow,Cash on Delivery,pending
ORD-0630,CUST-1095,Sneha Singh,sneha.singh721@gmail.com,"Apr 19, 2025",Shampoo,Beauty,6,₹ 1299,"₹7,794",Lucknow,Credit Card,cancelled
ORD-0848,CUST-1058,Aditya Sharma,aditya.sharma412@gmail.com,"Jun 02, 2025",Power Bank,Electronics,3,₹ 999,"₹2,997",Bangalore,upi,Delivered
ORD-0515,CUST-1181,Aditya Mishra,aditya.mishra34@gmail.com,"Aug 21, 2025",Jeans,Fashion,6,INR 999,₹ 5994,delhi,debit card,Cancelled
ORD-0366,CUST-1235,Karan Jain,karan.jain610@gmail.com,13/04/2025,Hoodie,Fashion,3,"₹1,999","₹5,997",pune,Debit Card,cancelled
ORD-0904,CUST-1021,Sneha Kumar,sneha.kumar336@gmail.com,24/12/2025,Excel Guide,Books,6,₹399,"2,394",Bengaluru,COD,shipped
ORD-0656,CUST-1246,Aarav Mishra,aarav.mishra826@gmail.com,17-11-2025,Wireless Mouse,Electronics,4,799,"INR 3,196",New Delhi,COD,Shipped
ORD-0529,CUST-1156,Rohan Kumar,rohan.kumar35@gmail.com,2025-07-25,Keyboard,Electronics,6,₹ 1299,"7,794",New Delhi,debit card,Delivered
ORD-0322,CUST-1028,Vikas Mishra,vikas.mishra594@gmail.com,"Dec 08, 2025",T-Shirt,Fashion,3,1299,"3,897",Bengaluru,UPI,cancelled
ORD-0071,CUST-1142,Rahul Yadav,rahul.yadav965@gmail.com,30-05-2025,USB Cable,Electronics,1,₹ 1999,₹ 1999,Pune,credit card,Cancelled
ORD-0791,CUST-1090,Rahul Jain,rahul.jain553@gmail.com,2025-06-21,Wireless Mouse,Electronics,5,₹ 299,"INR 1,495",jaipur ,Debit Card,shipped
ORD-0372,CUST-1158,Priya Gupta,priya.gupta866@gmail.com,13-11-2025,Bedsheet,Home,2,INR 399,₹798,New Delhi,upi,Cancelled
ORD-0835,CUST-1047,Vikas Singh,vikas.singh225@gmail.com,"Dec 18, 2025",Face Wash,Beauty,4,₹ 249,996,jaipur ,COD,DELIVERED
ORD-0457,CUST-1120,Priya Sharma,priya.sharma480@gmail.com,18/07/2025,Power Bank,Electronics,6,₹299,"1,794",Delhi,upi,Pending
ORD-0248,CUST-1170,Aditya Singh,aditya.singh527@gmail.com,"Mar 10, 2025",Hoodie,Fashion,6,₹249,1494,Jaipur,UPI,pending
ORD-0959,CUST-1150,Neha Patel,neha.patel914@gmail.com,26-04-2025,Perfume,Beauty,2,₹249,INR 498,mumbai ,Debit Card,pending
ORD-0827,CUST-1215,Karan Jain,karan.jain17@gmail.com,2025-07-11,Face Wash,Beauty,3,999,"2,997",mumbai ,Debit Card,shipped
ORD-0978,CUST-1083,Nitin Verma,nitin.verma496@gmail.com,"Mar 13, 2025",T-Shirt,Fashion,1,1299,"1,299",Bangalore,Cash on Delivery,Delivered
ORD-0299,CUST-1058,Karan Verma,karan.verma360@gmail.com,08-09-2025,AI Fundamentals,Books,5,INR 599,"INR 2,995",Bengaluru,UPI,Shipped
ORD-0102,CUST-1227,Priya Jain,priya.jain439@gmail.com,21-08-2025,Wireless Mouse,Electronics,6,"INR 1,299","7,794",mumbai ,debit card,delivered
ORD-0752,CUST-1047,Rahul Jain,rahul.jain591@gmail.com,17/05/2025,Data Analytics,Books,6,299,"INR 1,794",jaipur ,Cash on Delivery,Cancelled
ORD-0605,CUST-1206,Vikas Yadav,vikas.yadav718@gmail.com,"Jul 27, 2025",Wireless Mouse,Electronics,2,"1,999",3998,Jaipur,debit card,pending
ORD-0214,CUST-1068,Rohan Mishra,rohan.mishra114@gmail.com,2025-10-02,Table Lamp,Home,3,"2,499","7,497",Mumbai,COD,delivered
ORD-0238,CUST-1179,Rohan Patel,rohan.patel953@gmail.com,2025-04-15,Bedsheet,Home,1,499,499,Bengaluru,upi,shipped
ORD-0869,CUST-1004,Vikas Verma,vikas.verma545@gmail.com,2025-05-29,USB Cable,Electronics,6,299,₹ 1794,mumbai ,upi,shipped
ORD-0282,CUST-1017,Priya Yadav,priya.yadav226@gmail.com,"Jul 28, 2025",Perfume,Beauty,6,249,"1,494",Delhi,cod,DELIVERED
ORD-0378,CUST-1185,Rahul Yadav,rahul.yadav835@gmail.com,2025-01-05,Shampoo,Beauty,2,₹ 2499,₹ 4998,delhi,cod,cancelled
ORD-0287,CUST-1056,Priya Kumar,priya.kumar632@gmail.com,06-06-2025,Table Lamp,Home,5,₹ 199,₹ 995,Bangalore,COD,shipped
ORD-0389,CUST-1205,Neha Kumar,neha.kumar490@gmail.com,01/10/2025,Wireless Mouse,Electronics,5,₹ 299,₹ 1495,mumbai ,UPI,pending
ORD-0883,CUST-1003,Rohan Yadav,rohan.yadav436@gmail.com,2025-08-06,Hoodie,Fashion,4,"₹2,499","9,996",Pune,upi,pending
ORD-0717,CUST-1181,Simran Jain,simran.jain547@gmail.com,02-08-2025,Face Wash,Beauty,1,₹ 249,INR 249,delhi,debit card,DELIVERED
ORD-0793,CUST-1197,Rohan Singh,rohan.singh601@gmail.com,07-08-2025,Lip Balm,Beauty,6,INR 999,"₹5,994",Bangalore,Credit Card,DELIVERED
ORD-0097,CUST-1024,Simran Singh,simran.singh330@gmail.com,07-08-2025,Hoodie,Fashion,4,799,"3,196",delhi,COD,delivered
ORD-0245,CUST-1198,  neha gupta ,neha.gupta308@gmail.com,16-10-2025,Power Bank,Electronics,4,199,INR 796,Pune,debit card,Cancelled
ORD-0735,CUST-1114,Rahul Mehta,rahul.mehta780@gmail.com,25/10/2025,Storage Box,Home,4,249,₹ 996,jaipur ,Credit Card,DELIVERED
 ORD-0056 ,CUST-1012,Priya Kumar,priya.kumar242@gmail.com,16/02/2025,Python Basics,Books,5,₹249,₹ 1245,delhi,Debit Card,Delivered
ORD-0897,CUST-1123,Rohan Mishra,rohan.mishra936@gmail.com,09/11/2025,T-Shirt,Fashion,2,999,"₹1,998",Bengaluru,upi,cancelled
ORD-0210,CUST-1201,Ananya Jain,ananya.jain952@gmail.com,13/02/2025,T-Shirt,Fashion,4,INR 249,996,mumbai ,debit card,Cancelled
ORD-0260,CUST-1215,Simran Mehta,simran.mehta945@gmail.com,30/10/2025,Storage Box,Home,3,"2,499",7497,Jaipur,Credit Card,Shipped
ORD-0159,CUST-1240,Priya Kumar,priya.kumar799@gmail.com,2025-05-28,Bedsheet,Home,5,₹ 499,"2,495",Pune,debit card,cancelled
ORD-0496,CUST-1248,Aditya Gupta,aditya.gupta510@gmail.com,19/07/2025,Keyboard,Electronics,1,2499,"2,499",Pune,cod,Cancelled
ORD-0526,CUST-1139,Neha Verma,neha.verma220@gmail.com,15/10/2025,Data Analytics,Books,4,499,"1,996",delhi,debit card,Cancelled
ORD-0332,CUST-1249,Vikas Yadav,vikas.yadav54@gmail.com,2025-06-01,Excel Guide,Books,5,"1,299",6495,New Delhi,upi,DELIVERED
ORD-0952,CUST-1069,Ananya Jain,ananya.jain328@gmail.com,2025-06-22,Data Analytics,Books,1,₹999,999,Lucknow,Cash on Delivery,Delivered
ORD-0315,CUST-1184,Aarav Gupta,aarav.gupta874@gmail.com,21-08-2025,Wall Clock,Home,3,599,1797,Jaipur,COD,Pending
ORD-0295,CUST-1054,Rahul Singh,rahul.singh509@gmail.com,2025-06-20,Shampoo,Beauty,3,"2,499","₹7,497",Delhi,COD,shipped
ORD-0382,CUST-1042,Rahul Verma,rahul.verma665@gmail.com,"Jun 22, 2025",Excel Guide,Books,4,1999,7996,Bengaluru,upi,delivered
ORD-0920,CUST-1192,Aditya Kumar,aditya.kumar942@gmail.com,05-05-2025,Body Lotion,Beauty,3,INR 399,"1,197",Mumbai,COD,Pending
ORD-0573,CUST-1240,Rohan Gupta,rohan.gupta624@gmail.com,04-03-2025,AI Fundamentals,Books,3,999,2997,Lucknow,Cash on Delivery,Shipped
ORD-0875,CUST-1149,Vikas Sharma,vikas.sharma944@gmail.com,14/10/2025,Lip Balm,Beauty,4,₹ 799,"₹3,196",delhi,Debit Card,Shipped
ORD-0517,CUST-1045,Neha Sharma,neha.sharma123@gmail.com,16-07-2025,T-Shirt,Fashion,5,₹ 1999,9995,Delhi,debit card,Pending
ORD-0718,CUST-1067,Sneha Singh,sneha.singh471@gmail.com,2025-10-18,Table Lamp,Home,4,INR 299,"INR 1,196",Delhi,Credit Card,Shipped
ORD-0060,CUST-1221,Rohan Patel,rohan.patel792@gmail.com,2025-08-02,Excel Guide,Books,1,399,₹ 399,Pune,COD,shipped
ORD-0674,CUST-1022,Karan Gupta,karan.gupta323@gmail.com,"Aug 06, 2025",Table Lamp,Home,4,399,"INR 1,596",Bangalore,Debit Card,cancelled
ORD-0558,CUST-1101,Nitin Patel,nitin.patel711@gmail.com,"Oct 04, 2025",Power Bank,Electronics,6,₹ 999,5994,delhi,cod,Delivered
ORD-0744,CUST-1037,Vikas Mehta,vikas.mehta545@gmail.com,2025-06-30,SQL Handbook,Books,2,"₹1,599","₹3,198",Mumbai,UPI,Shipped
ORD-0381,CUST-1098,Nitin Patel,nitin.patel188@gmail.com,26-05-2025,Data Analytics,Books,5,"1,599",7995,Pune,COD,delivered
ORD-0055,CUST-1070,Ananya Mishra,ananya.mishra387 @gmail.com,31-08-2025,Wall Clock,Home,6,₹ 399,2394,Bangalore,debit card,Cancelled
ORD-0024,CUST-1034,Aarav Yadav,aarav.yadav646@gmail.com,16/10/2025,Hoodie,Fashion,3,₹249,747,Mumbai,cod,shipped
ORD-0031,CUST-1222,Vikas Mehta,vikas.mehta322@gmail.com,2025-04-27,USB Cable,Electronics,2,₹399,INR 798,Bengaluru,debit card,shipped
ORD-0954,CUST-1223,Rohan Jain,rohan.jain140@gmail.com,2025-01-07,Wireless Mouse,Electronics,4,2499,"₹9,996",delhi,credit card,Cancelled
ORD-0430,CUST-1082,Nitin Mishra,nitin.mishra949@gmail.com,22-03-2025,Data Analytics,Books,4,₹299,1196,pune,upi,DELIVERED
ORD-0011,CUST-1196,Sneha Singh,sneha.singh901@gmail.com,17-11-2025,Headphones,Electronics,5,299,1495,Mumbai,Credit Card,Pending
ORD-0654,CUST-1021,Priya Sharma,priya.sharma294@gmail.com,"Aug 04, 2025",Cap,Fashion,1,"2,499","₹2,499",Bengaluru,credit card,Pending
ORD-0809,CUST-1207,Karan Gupta,karan.gupta223@gmail.com,09/11/2025,Face Wash,Beauty,6,"INR 1,999",11994,jaipur ,COD,delivered
ORD-0483,CUST-1068,Vikas Jain,vikas.jain497@gmail.com,"Jun 04, 2025",T-Shirt,Fashion,1,299,INR 299,Bengaluru,Cash on Delivery,Cancelled
ORD-0446,CUST-1085,Rohan Jain,rohan.jain873@gmail.com,09/10/2025,Sneakers,Fashion,3,799,₹ 2397,delhi,upi,shipped
ORD-0200,CUST-1075,Aarav Singh,aarav.singh372@gmail.com,11/10/2025,AI Fundamentals,Books,4,249,996,Bangalore,Cash on Delivery,Delivered
 ORD-0225 ,CUST-1200,Rahul Mehta,rahul.mehta576@gmail.com,2025-03-26,Headphones,Electronics,2,799,"₹1,598",delhi,upi,pending
ORD-0905,CUST-1244,Ananya Patel,ananya.patel225@gmail.com,04-03-2025,Table Lamp,Home,5,INR 399,"₹1,995",Mumbai,COD,Cancelled
ORD-0108,CUST-1102,Rohan Jain,rohan.jain874@gmail.com,2025-02-24,SQL Handbook,Books,6,₹ 599,3594,Bengaluru,cod,delivered
ORD-0219,CUST-1138,Vikas Verma,vikas.verma94@gmail.com,17/10/2025,Lip Balm,Beauty,6,INR 999,"5,994",Delhi,Debit Card,Shipped
ORD-0421,CUST-1004,Neha Verma,neha.verma785@gmail.com,13/02/2025,Keyboard,Electronics,2,"₹1,999","INR 3,998",Jaipur,Credit Card,shipped
ORD-0175,CUST-1136,Vikas Jain,vikas.jain394@gmail.com,2025-02-11,Wall Clock,Home,3,799,"₹2,397",delhi,cod,pending
ORD-0895,CUST-1150,Aditya Gupta,aditya.gupta883@gmail.com,23-09-2025,Bedsheet,Home,1,₹ 1299,1299,Delhi,cod,delivered
ORD-0519,CUST-1213,Karan Kumar,karan.kumar65@gmail.com,02-02-2025,Sneakers,Fashion,5,"1,999",₹ 9995,Pune,cod,cancelled
ORD-0454,CUST-1106,Aditya Jain,aditya.jain201@gmail.com,01/11/2025,Perfume,Beauty,2,"1,599","3,198",Lucknow,UPI,shipped
ORD-0929,CUST-1074,Priya Jain,priya.jain541@gmail.com,23-05-2025,Water Bottle,Home,6,"₹2,499","14,994",mumbai ,Credit Card,delivered
ORD-0040,CUST-1216,Simran Patel,simran.patel446@gmail.com,"Oct 08, 2025",Excel Guide,Books,4,"INR 1,599",₹ 6396,Pune,Debit Card,Shipped
